gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
A1BG	1468026	476532	0	5	1	0	50	46	21864535	2.103864e-06	3.085534e-06	3.405934e-06	2.098495e-06	NaN	2.098495e-06
A1CF	1957368	550830	0	8	4	0	2	4	1119167	3.574087e-06	4.784311e-06	4.087121e-06	7.261769e-06	NaN	7.261769e-06
A2BP1	1457778	385581	0	0	0	0	50	95	49014049	1.938220e-06	0	0	0	NaN	0
A2LD1	444934	152012	0	0	0	0	50	95	49014049	1.938220e-06	0	0	0	NaN	0
A2M	4567619	1280146	0	5	4	0	30	16	10466624	1.528669e-06	1.539050e-06	1.094662e-06	3.124644e-06	NaN	3.124644e-06
A2ML1	4526200	1245986	0	9	1	0	3	2	2892071	6.915460e-07	1.732446e-06	1.988423e-06	8.025772e-07	NaN	8.025772e-07
A4GALT	1032913	332633	0	1	0	0	50	42	32096736	1.308544e-06	7.323078e-07	9.681357e-07	0	NaN	0
A4GNT	1035475	285236	0	4	2	0	12	10	4027891	2.482689e-06	4.543008e-06	3.862961e-06	7.011738e-06	NaN	7.011738e-06
AAAS	1664019	517524	0	3	0	0	50	34	24688286	1.377171e-06	1.375173e-06	1.802864e-06	0	NaN	0
AACS	2117920	555527	0	2	1	0	38	24	17895143	1.341146e-06	1.122147e-06	9.443227e-07	1.800093e-06	NaN	1.800093e-06
AADAC	1220366	339892	0	3	1	0	50	42	19536104	2.149866e-06	2.563679e-06	2.458279e-06	2.942111e-06	NaN	2.942111e-06
AADACL2	1230187	335195	0	0	0	0	50	72	25316403	2.844006e-06	0	0	0	NaN	0
AADACL3	1073905	298046	0	2	2	0	19	16	8725745	1.833654e-06	2.915556e-06	1.862362e-06	6.710374e-06	NaN	6.710374e-06
AADACL4	1221647	361669	0	4	1	0	50	38	26580750	1.429606e-06	3.157929e-06	3.274268e-06	2.764959e-06	NaN	2.764959e-06
AADAT	1359995	343735	0	2	0	0	7	4	4797345	8.337945e-07	1.173895e-06	1.470594e-06	0	NaN	0
AAGAB	1002169	258335	0	2	0	0	50	39	26051270	1.497048e-06	1.586667e-06	1.995671e-06	0	NaN	0
AAK1	2953132	846314	0	2	0	0	19	17	11877859	1.431234e-06	5.263925e-07	6.772471e-07	0	NaN	0
AAMP	1347612	377895	0	0	0	0	50	24	17122700	1.401648e-06	0	0	0	NaN	0
AANAT	749812	237839	0	1	0	0	20	21	8897399	2.360240e-06	1.012503e-06	1.333668e-06	0	NaN	0
AARS	2983449	842898	0	1	0	0	18	7	7084357	9.880925e-07	2.613459e-07	3.351825e-07	0	NaN	0
AARS2	2946300	953064	0	5	1	0	7	3	3282349	9.139796e-07	1.538712e-06	1.697044e-06	1.049247e-06	NaN	1.049247e-06
AARSD1	1887767	507703	0	0	0	0	50	24	21202685	1.131932e-06	0	0	0	NaN	0
AASDH	3370311	924882	0	4	1	0	19	24	13762637	1.743852e-06	1.164092e-06	1.186834e-06	1.081219e-06	NaN	1.081219e-06
AASDHPPT	968436	248514	0	4	0	0	50	38	17857994	2.127899e-06	3.286906e-06	4.130371e-06	0	NaN	0
AASS	2900184	780129	0	2	2	0	0	2	780129	2.563679e-06	1.086864e-06	6.896114e-07	2.563679e-06	NaN	2.563679e-06
AATF	1764364	447923	0	3	1	0	50	23	15823339	1.453549e-06	1.808084e-06	1.700329e-06	2.232527e-06	NaN	2.232527e-06
