gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
A1BG	230346	74772	0	1	0	0	50	5	3430735	1.457414e-06	3.277421e-06	4.341295e-06	0	NaN	0
A1CF	307128	86430	0	0	0	0	50	3	3176470	9.444446e-07	0	0	0	NaN	0
A2BP1	228738	60501	0	0	0	0	50	15	7690729	1.950400e-06	0	0	0	NaN	0
A2LD1	69814	23852	0	0	0	0	50	15	7690729	1.950400e-06	0	0	0	NaN	0
A2M	716699	200866	0	0	1	0	50	6	3217206	1.864972e-06	1.089841e-06	0	4.978443e-06	NaN	4.978443e-06
A2ML1	710200	195506	0	1	0	0	50	4	3132719	1.276846e-06	1.104111e-06	1.408054e-06	0	NaN	0
A4GALT	162073	52193	0	0	0	0	50	5	5036256	9.928010e-07	0	0	0	NaN	0
A4GNT	162475	44756	0	0	1	0	50	4	3265178	1.225048e-06	4.825533e-06	0	2.234337e-05	NaN	2.234337e-05
AAAS	261099	81204	0	0	0	0	50	7	3873806	1.807008e-06	0	0	0	NaN	0
AACS	332320	87167	0	0	0	0	38	4	2807903	1.424551e-06	0	0	0	NaN	0
AADAC	191486	53332	0	1	1	0	50	4	3065384	1.304894e-06	8.169334e-06	5.222314e-06	1.875047e-05	NaN	1.875047e-05
AADACL2	193027	52595	0	0	0	0	50	7	3972363	1.762175e-06	0	0	0	NaN	0
AADACL3	168505	46766	0	0	0	0	50	7	4170750	1.678355e-06	0	0	0	NaN	0
AADACL4	191687	56749	0	1	0	0	50	7	4170750	1.678355e-06	4.025182e-06	5.216838e-06	0	NaN	0
AADAT	213395	53935	0	1	0	0	50	6	3602992	1.665283e-06	3.740695e-06	4.686145e-06	0	NaN	0
AAGAB	157249	40535	0	1	0	0	50	1	4087670	2.446381e-07	5.056021e-06	6.359341e-06	0	NaN	0
AAK1	463372	132794	0	2	0	0	50	6	4525582	1.325796e-06	3.354770e-06	4.316187e-06	0	NaN	0
AAMP	211452	59295	0	0	0	0	50	1	2686700	3.722038e-07	0	0	0	NaN	0
AANAT	117652	37319	0	0	0	0	50	6	2744052	2.186547e-06	0	0	0	NaN	0
AARS	468129	132258	0	0	0	0	16	2	1049086	1.906421e-06	0	0	0	NaN	0
AARS2	462300	149544	0	0	0	0	50	1	3724329	2.685047e-07	0	0	0	NaN	0
