Gene	HPV_positive_rates	HPV_negative_rates
A1BG	1.41517e-06	2.317961e-06
A1CF	9.170694e-07	3.383891e-06
A2BP1	1.893867e-06	1.893027e-06
A2LD1	1.893867e-06	1.893027e-06
A2M	1.810915e-06	1.628235e-06
A2ML1	1.239836e-06	6.547453e-07
A4GALT	1.156829e-06	1.504391e-06
A4GNT	1.189539e-06	2.350572e-06
AAAS	1.754631e-06	1.417345e-06
AACS	1.383259e-06	1.428499e-06
AADAC	1.267071e-06	2.18085e-06
AADACL2	1.711098e-06	3.237132e-06
AADACL3	1.629707e-06	2.170095e-06
AADACL4	1.629707e-06	1.602864e-06
AADAT	1.617014e-06	7.894241e-07
AAGAB	2.375472e-07	1.599098e-06
AAK1	1.287367e-06	1.355071e-06
AAMP	3.614153e-07	1.60353e-06
AANAT	2.123169e-06	2.447463e-06
AARS	1.851163e-06	9.355111e-07
AARS2	2.60722e-07	8.653421e-07
AARSD1	1.167476e-06	1.071696e-06
AASDH	2.928973e-06	1.78864e-06
AASDHPPT	1.732671e-06	2.173715e-06
AASS	4.750944e-07	2.427252e-06
AATF	7.821871e-07	1.555702e-06
AATK	1.839649e-06	2.278823e-06
ABAT	4.547935e-06	1.816179e-06
ABCA1	1.149142e-06	1.577584e-06
ABCA10	1.318026e-06	1.765463e-06
ABCA12	4.646901e-07	1.533734e-06
ABCA13	1.553183e-06	2.38248e-06
ABCA2	0	6.010966e-07
ABCA3	7.678144e-07	2.006057e-06
ABCA4	4.127578e-07	1.054217e-06
ABCA5	2.486983e-06	1.129544e-06
ABCA6	2.09554e-06	2.960543e-06
ABCA7	1.654707e-06	1.614512e-06
ABCA8	1.49223e-06	2.047154e-06
ABCA9	1.827298e-06	1.073058e-06
ABCB1	0	4.612158e-07
ABCB10	1.954518e-06	0
ABCB11	8.178063e-07	1.776344e-06
ABCB4	2.148069e-06	2.464802e-06
ABCB5	1.961529e-06	3.451159e-06
ABCB6	2.428275e-06	1.542049e-06
